,delta_time,longitude,latitude,heights,class,utm_x,utm_y,elapsed_seconds,qGIS_Surface_Type
161,144088547.82647094,-77.49433596259804,85.69346747824568,-0.069942206,other,579333.1066173848,9523730.303682854,1254.626370280146,ice
162,144088547.82706633,-77.49456643969377,85.69343379225657,-0.116548955,other,579331.8199732895,9523726.275693716,1254.5712545676004,ice
163,144088547.82774085,-77.49482757574273,85.69339563101795,-0.077289335,other,579330.3620308111,9523721.712526895,1254.5161388550548,ice
164,144088547.82891527,-77.49528212244395,85.69332918503267,0.17538117,other,579327.8245453789,9523713.76738711,1254.4610231425092,ice
165,144088547.83045352,-77.49587633488795,85.69324240833899,0.27257162,other,579324.5056240103,9523703.390451375,1254.4059074299637,ice
166,144088547.83177724,-77.4963874397991,85.69316782363082,0.17645642,other,579321.6497115988,9523694.47095036,1254.3507917174177,ice
167,144088547.8325148,-77.49667231776934,85.69312627083913,-0.048803672,other,579320.0574772964,9523689.501525076,1254.295676004872,pond
168,144088547.83309755,-77.49689727911388,85.69309346835162,-0.10350607,other,579318.7998964993,9523685.578476457,1254.2405602923263,pond
169,144088547.833717,-77.49713656072387,85.69305857424416,-0.14229621,other,579317.4622948489,9523681.40531454,1254.1854445797808,pond
170,144088547.8342308,-77.49733485009953,85.69302965572173,-0.16040291,other,579316.3538589316,9523677.946826484,1254.1303288672348,pond
171,144088547.8348575,-77.49757669263758,85.6929943916682,-0.16488215,other,579315.0018150385,9523673.72939304,1254.0752131546894,pond
172,144088547.83544093,-77.49780189052076,85.69296156605625,-0.16856015,other,579313.742584154,9523669.80348162,1254.0200974421437,ice
173,144088547.83613318,-77.49806912923425,85.69292261173294,-0.14698026,other,579312.2482494938,9523665.144592214,1253.9649817295983,ice
174,144088547.83722454,-77.49849033200854,85.69286120393397,0.18394879,other,579309.8930977716,9523657.800403789,1253.9098660170523,ice
175,144088547.8382514,-77.49888663410833,85.69280345475276,0.6153097,other,579307.6765631265,9523650.893515289,1253.8547503045063,ice
176,144088547.839089,-77.49921007468214,85.69275635558482,0.7259242,other,579305.8668786478,9523645.26008122,1253.7996345919612,ice
177,144088547.8399139,-77.49952894542933,85.69270997544886,0.50550956,other,579304.0817185078,9523639.712146444,1253.7445188794154,ice
178,144088547.84113362,-77.5000004631687,85.69264143073323,0.17188841,other,579301.441173419,9523631.51255984,1253.6894031668692,ice
179,144088547.84274647,-77.50062421295495,85.69255075591133,0.23893645,other,579297.9479167338,9523620.66570176,1253.634287454324,ice
180,144088547.84389696,-77.50106915836882,85.69248608223907,0.3834852,other,579295.4557482104,9523612.92913124,1253.5791717417785,ice
181,144088547.8452979,-77.50161138862802,85.69240731575843,0.51680064,other,579292.4176481584,9523603.50627288,1253.5240560292327,ice
182,144088547.84637377,-77.50202804281625,85.6923468252022,0.5602158,other,579290.0824015874,9523596.269453818,1253.4689403166867,ice
183,144088547.84734526,-77.50240441261539,85.69229219872463,0.5945021,other,579287.9725674122,9523589.734046984,1253.4138246041412,ice
184,144088547.84840372,-77.50281420372518,85.69223269318337,0.77684647,other,579285.6758077755,9523582.615195552,1253.3587088915956,ice
185,144088547.84940183,-77.50320127273635,85.69217654928869,0.81382924,other,579283.5051668736,9523575.89792638,1253.30359317905,pond
186,144088547.8500592,-77.50345706711552,85.69213951887058,0.8091505,other,579282.0693248361,9523571.46678314,1253.2484774665045,pond
187,144088547.85085055,-77.50376502327615,85.69209493346023,0.8460093,other,579280.3407028775,9523566.131632488,1253.1933617539587,ice
188,144088547.8519343,-77.50418693999964,85.6920338619884,1.0161685,other,579277.9720690998,9523558.823621728,1253.138246041413,ice
189,144088547.8529179,-77.50457003914178,85.69197845074491,1.041093,other,579275.8205054663,9523552.192544913,1253.0831303288671,ice
190,144088547.8536846,-77.50486902361587,85.69193524930473,-0.08366625,other,579274.140488985,9523547.022208462,1253.0280146163216,lead
191,144088547.85414347,-77.50504781860897,85.69190941507246,-0.08800351,specular_lead_low_w_bkg,579273.1357913744,9523543.930371553,1252.9728989037756,lead
192,144088547.8546112,-77.50523012946108,85.69188305487059,-0.24924085,specular_lead_low_w_bkg,579272.111648037,9523540.775759904,1252.9177831912302,lead
193,144088547.855308,-77.50550164731393,85.6918437717664,-0.20715025,specular_lead_high_w_bkgr,579270.5867931801,9523536.07485946,1252.8626674786844,lead
194,144088547.8573712,-77.50630547989378,85.69172744973717,-0.15157557,specular_lead_high_w_bkgr,579266.0726252586,9523522.15517354,1252.8075517661389,lead
195,144088547.8581766,-77.50661908061737,85.69168206025927,-0.16342652,specular_lead_high_w_bkgr,579264.3115598193,9523516.723728215,1252.752436053593,lead
196,144088547.85893357,-77.50691410242433,85.69163935044851,-0.2183514,specular_lead_high_w_bkgr,579262.654946939,9523511.613034235,1252.6973203410475,lead
197,144088547.85948095,-77.50712732354354,85.691608480298,-0.217739,specular_lead_high_w_bkgr,579261.4576773478,9523507.919111054,1252.6422046285015,lead
198,144088547.85981905,-77.50725881885465,85.69158944099692,-0.20335324,specular_lead_low_w_bkg,579260.7193236112,9523505.64088232,1252.5870889159562,lead
199,144088547.86047468,-77.50751409152862,85.69155247050931,-0.18391764,other,579259.28609636,9523501.217112884,1252.5319732034104,lead
200,144088547.8622698,-77.508212828863,85.69145123908376,-0.14079979,other,579255.3634898374,9523489.104438163,1252.4768574908649,lead
201,144088547.86295393,-77.50847895093351,85.6914126765185,-0.15037803,other,579253.869582335,9523484.4903771,1252.421741778319,lead
202,144088547.8633804,-77.50864484193437,85.69138863365286,-0.18164438,specular_lead_low_w_bkg,579252.938392593,9523481.61366013,1252.3666260657735,lead
203,144088547.8639008,-77.50884728144001,85.69135928661758,-0.19272617,specular_lead_high_w_bkgr,579251.802155824,9523478.102371711,1252.3115103532275,lead
204,144088547.86523563,-77.50936617894821,85.69128404368453,-0.1489346,specular_lead_high_w_bkgr,579248.8899857744,9523469.099970562,1252.256394640682,lead
205,144088547.86578935,-77.50958139105677,85.69125282268642,-0.14788565,specular_lead_high_w_bkgr,579247.6823795035,9523465.36468873,1252.2012789281364,lead
206,144088547.86630443,-77.50978142047965,85.69122379698214,-0.14897093,specular_lead_high_w_bkgr,579246.5600762557,9523461.89212324,1252.1461632155908,lead
207,144088547.86664796,-77.50991492887712,85.69120442375953,-0.15068755,specular_lead_high_w_bkgr,579245.810992588,9523459.57436048,1252.091047503045,ice
208,144088547.86706477,-77.51007676731021,85.69118093918057,-0.16272292,specular_lead_high_w_bkgr,579244.9029497601,9523456.764730822,1252.0359317904995,ice
